30
-
27;14;N
-
20;3;N;Przeciwnik1
21;27;N;Przeciwnik2
2;27;N;Przeciwnik3
24;6;N;Przeciwnik4
10;14;N;Przeciwnik5
1;19;N;Przeciwnik6
-
8;9
9;9
8;10
10;7
11;7
10;8
0;12
1;12
0;13
21;3
22;3
21;4
10;1
11;1
10;2
14;14
15;14
14;15
25;10
26;10
25;11
14;7
15;7
14;8
15;11
16;11
15;12
18;23
19;23
18;24
22;3
23;3
22;4
8;26
9;26
8;27
14;22
15;22
14;23
5;9
6;9
5;10
6;24
7;24
6;25
-
13;14
0;19
18;1
15;6
23;13
23;19
25;26
19;21
1;28
9;13
8;4
5;8
17;2
19;2
6;11
18;9
6;27
3;25
1;5
24;5
7;9
5;13
10;5
20;6
26;4
14;26
6;18
28;21
11;17
21;17
24;25
0;15
3;1
7;19
11;15
28;26
4;20
15;20
13;1
22;16
9;7
27;8
4;15
18;22
23;2
9;1
9;28
8;0
26;7
20;16
2;1
2;11
27;6
11;21
24;22
21;23
17;23
24;12
8;11
12;21
